0,0,33,1,0,0,2,144,369,288,390,672,674,327,147,54,7,2,0,0
0,0,33,1,0,0,1,138,361,228,282,531,622,485,194,113,104,15,2,0
0,0,33,1,0,0,3,139,355,229,307,524,604,498,195,103,100,18,1,0
0,0,33,1,0,0,2,139,360,236,275,527,606,489,229,93,99,19,2,0
0,0,31,3,0,0,3,130,367,233,289,520,623,489,188,114,104,15,1,0
0,0,34,0,0,0,5,143,340,238,287,561,600,468,212,100,107,13,2,0
0,0,29,5,0,0,0,143,357,229,284,520,636,487,183,121,93,19,4,0
0,0,29,5,0,0,3,129,367,235,290,512,630,481,206,108,92,22,1,0
0,0,32,2,0,0,3,120,371,231,310,552,667,464,182,103,68,5,0,0
0,0,30,4,0,0,5,132,365,224,301,570,628,489,183,124,51,3,1,0
0,0,34,0,0,0,3,134,351,237,303,564,642,470,197,107,62,6,0,0
0,0,29,5,0,0,2,136,348,248,285,555,683,452,184,111,64,7,1,0
0,0,31,3,0,1,5,129,361,230,297,579,652,473,165,110,66,8,0,0
0,0,31,3,0,0,2,138,359,230,316,539,643,487,181,106,72,3,0,0
0,0,33,1,0,1,4,124,366,226,306,571,649,472,180,110,58,9,0,0
0,0,33,1,0,0,2,131,348,239,310,561,675,450,184,102,73,1,0,0
0,0,32,2,0,0,3,121,352,251,289,579,638,483,174,120,59,7,0,0
0,0,31,3,0,0,3,128,367,235,297,559,657,451,184,119,67,9,0,0
0,0,28,6,0,0,4,132,352,244,299,560,672,460,159,126,55,12,1,0
0,0,31,3,0,1,4,136,358,240,290,553,673,455,184,121,57,3,1,0
0,0,32,2,0,0,2,133,350,252,296,576,610,492,185,108,59,12,1,0
0,0,29,5,0,1,3,122,376,236,306,545,659,476,159,125,61,6,1,0
0,0,31,3,0,0,4,132,371,218,309,540,673,458,190,112,65,4,0,0
0,0,33,1,0,0,1,130,364,227,325,531,683,448,187,124,48,8,0,0
0,0,32,2,0,0,3,133,367,239,304,532,656,479,184,115,59,5,0,0
0,0,32,2,0,0,0,133,354,237,314,561,623,490,180,110,66,7,1,0
0,0,29,5,0,0,2,132,351,239,300,567,666,471,167,101,72,8,0,0
0,0,29,5,0,0,2,131,354,243,293,565,663,469,181,107,64,4,0,0
0,0,32,2,0,1,5,139,345,252,289,553,647,478,189,111,65,2,0,0
0,0,34,0,0,0,4,134,356,243,300,553,660,468,176,117,57,8,0,0
0,0,32,2,0,0,5,133,364,242,291,539,661,469,190,114,60,8,0,0
0,1,31,2,0,1,2,125,363,245,302,555,647,480,173,115,64,4,0,0
0,0,31,3,0,0,5,141,351,233,313,552,631,477,197,107,64,5,0,0
0,0,33,1,0,0,0,144,362,256,324,593,694,408,158,113,23,1,0,0
0,0,32,2,0,0,7,121,380,248,320,613,706,377,168,112,23,1,0,0
0,0,33,1,0,0,4,136,366,247,328,614,700,406,138,110,24,3,0,0
0,1,31,2,0,0,1,146,341,261,343,623,647,419,169,104,19,2,1,0
0,0,33,1,0,1,3,147,345,244,349,615,664,414,156,109,23,5,1,0
0,0,31,3,0,0,2,129,348,269,319,622,682,407,160,122,14,2,0,0
0,0,29,5,0,0,3,153,349,240,303,651,679,403,163,107,23,2,0,0
0,0,31,3,0,0,4,127,359,259,340,598,688,410,163,101,23,4,0,0
0,0,33,1,0,0,2,128,370,256,330,599,707,389,167,97,26,5,0,0
0,0,33,1,0,0,3,132,378,236,330,635,681,376,173,105,21,5,1,0
0,0,34,0,0,0,1,131,360,265,324,637,688,377,160,113,19,1,0,0
0,1,32,1,0,0,2,142,354,265,300,620,704,391,157,119,18,4,0,0
0,0,29,5,0,0,3,129,365,263,310,620,698,403,142,120,20,2,1,0
0,0,32,2,0,0,2,130,367,259,332,612,676,408,164,95,30,1,0,0
0,0,33,1,0,0,5,123,373,251,321,612,700,398,162,100,27,4,0,0
0,0,30,4,0,0,3,135,353,253,341,626,679,408,151,108,17,2,0,0
0,0,33,1,0,0,3,136,360,253,346,597,708,391,143,114,25,0,0,0
0,1,31,2,0,0,1,138,365,245,341,597,703,389,150,122,22,3,0,0
0,0,30,4,0,1,2,129,377,234,344,612,679,393,171,115,17,2,0,0
0,1,30,3,0,0,1,140,366,233,310,663,658,411,156,115,16,6,1,0
0,0,33,1,0,0,2,140,350,253,335,631,709,360,157,113,26,0,0,0
0,0,33,1,0,0,2,122,372,259,321,630,657,422,154,114,22,1,0,0
0,0,30,4,0,0,3,143,344,263,326,606,682,423,149,110,23,4,0,0
0,1,29,4,1,0,5,133,368,244,308,631,685,406,145,117,30,1,2,0
0,0,31,3,0,0,1,133,360,269,301,625,695,398,150,115,26,3,0,0
0,0,33,1,0,0,3,140,384,255,394,692,696,299,140,63,8,2,0,0
0,0,33,1,0,0,3,153,363,273,351,723,676,321,130,76,6,1,0,0
0,0,31,3,0,0,2,147,368,257,386,691,684,307,160,68,6,0,0,0
0,0,33,1,0,0,2,153,344,288,385,691,672,311,153,69,7,1,0,0
0,0,33,1,0,0,6,142,374,271,367,734,653,305,159,58,6,1,0,0
0,0,31,3,0,0,5,148,369,273,390,689,669,324,136,65,7,1,0,0
0,0,33,1,0,0,4,152,374,252,376,705,712,302,133,60,5,1,0,0
0,0,30,4,0,0,1,150,365,261,383,716,682,295,155,58,9,1,0,0
0,0,31,3,0,0,4,153,345,293,366,720,669,316,146,59,5,0,0,0
0,0,31,3,0,0,8,147,354,276,378,683,715,297,139,61,18,0,0,0
0,0,29,5,0,0,7,138,382,262,367,713,677,317,134,69,9,1,0,0
0,0,32,2,0,0,3,139,364,289,369,701,668,338,132,67,6,0,0,0
0,0,30,4,0,0,6,126,377,280,393,691,689,297,145,64,7,1,0,0
0,0,30,4,0,0,1,135,375,278,375,707,662,328,145,62,8,0,0,0
0,0,33,1,0,0,1,157,362,249,385,711,685,309,142,66,8,1,0,0
