0,0,0,0,0,0,0,0,0,0,1,1,8,15,6,2,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,3,5,18,40,29,52,63,65,74,65,64,62,49,41,57,40,65,68,51,56,59,89,104,110,123,128,149,137,135,123,109,135,108,111,70,41,50,47,30,40,28,20,17,12,26,29,32,16,12,6,3,3,1,1,2,0,0,0,0,1,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,4,13,12,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,14,25,44,40,62,90,76,72,57,61,46,40,43,41,61,65,71,58,64,75,109,122,128,105,138,145,134,134,127,131,109,93,59,59,50,51,32,29,27,23,21,18,28,23,23,18,8,6,4,6,4,1,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,4,6,16,6,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,17,28,34,58,56,66,84,84,74,54,36,49,50,39,63,62,52,64,75,90,106,109,117,135,145,143,118,120,115,120,113,101,70,51,63,38,35,32,25,22,18,21,23,28,20,17,15,9,3,3,0,0,0,1,0,1,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,3,11,10,9,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7,13,28,40,51,57,72,91,81,56,59,41,55,44,40,63,48,54,62,66,103,81,129,119,119,128,143,128,137,133,128,126,85,65,65,45,42,46,23,21,23,11,25,25,19,22,19,23,5,3,3,2,0,1,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,2,5,9,13,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,9,16,30,36,47,67,74,75,73,65,71,49,39,41,41,57,57,70,57,68,79,107,122,111,131,136,141,120,130,98,119,130,89,78,65,44,42,38,42,30,26,19,17,27,21,18,19,11,8,4,3,2,1,1,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,1,13,6,11,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,2,10,16,21,38,56,61,57,96,67,65,69,48,39,44,52,58,50,62,59,70,73,104,121,122,122,139,164,132,118,137,131,95,80,86,54,46,44,39,15,27,25,23,24,18,23,26,21,8,5,2,6,1,0,1,2,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,3,6,15,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,8,13,27,20,53,67,69,105,71,71,53,49,33,44,56,66,66,41,51,66,80,107,112,133,128,118,142,145,119,125,132,124,73,74,54,54,40,38,30,24,28,15,25,26,21,25,17,16,5,3,4,2,1,1,1,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,1,10,14,8,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,5,17,24,36,32,70,81,104,66,67,52,43,35,56,33,54,59,71,57,73,71,98,127,131,140,126,148,125,113,121,119,118,108,69,47,51,45,33,33,26,25,20,22,20,21,34,14,9,4,5,9,2,1,1,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,4,9,13,5,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,10,12,23,50,45,49,83,77,69,72,73,40,45,51,29,58,80,54,49,58,86,94,127,120,135,149,126,119,128,125,126,110,97,87,53,44,42,39,26,32,24,17,15,25,32,21,17,7,6,5,5,2,0,2,3,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,1,1,13,10,6,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,4,15,23,41,56,55,79,78,72,62,65,53,35,52,38,59,60,59,71,76,74,109,115,126,121,151,145,140,103,116,125,101,89,81,56,49,37,41,29,28,14,28,19,25,28,21,23,6,7,8,2,2,0,0,2,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,1,1,9,14,6,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,5,13,28,40,46,52,87,79,73,61,75,42,48,53,37,57,60,64,58,65,71,99,148,103,132,161,132,115,129,112,126,126,87,60,63,58,38,33,29,30,22,21,17,25,31,27,17,10,4,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,3,6,16,6,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,9,18,31,34,42,58,84,72,75,65,67,53,33,32,49,71,59,59,59,59,100,107,112,136,111,134,127,136,128,115,134,119,91,79,58,47,44,37,29,28,22,18,22,30,19,19,14,9,7,6,4,0,1,0,1,0,1,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,1,13,11,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,8,9,34,38,48,54,76,78,74,70,50,55,36,55,52,43,57,68,76,70,86,92,117,120,131,129,153,142,105,112,123,112,92,76,58,56,37,38,32,26,23,19,18,21,27,31,16,16,7,3,1,2,1,0,0,0,1,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,4,6,18,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,7,14,30,27,40,63,88,94,72,54,65,46,37,43,47,62,50,57,65,67,91,96,114,110,137,139,126,131,143,141,116,88,96,82,64,54,41,36,26,25,22,25,20,31,20,19,19,10,11,5,0,0,3,2,1,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,1,1,4,5,13,6,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6,17,27,35,46,57,77,88,72,64,60,46,44,52,49,55,51,59,58,64,69,100,128,138,136,121,152,122,111,131,124,101,101,64,65,49,55,32,39,24,23,21,24,16,38,21,10,15,10,3,1,1,0,0,1,1,0,0,0,1,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,1,6,5,12,8,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,14,21,23,28,52,66,76,78,78,61,55,52,55,48,44,60,67,70,57,70,105,115,126,140,128,143,154,135,124,144,117,91,73,51,43,55,36,30,21,33,30,26,30,21,6,7,4,2,2,2,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,1,3,7,8,11,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,4,19,26,36,48,63,88,79,71,65,61,55,41,52,52,53,68,59,54,71,81,124,124,140,149,142,147,128,140,114,148,92,82,65,58,29,37,29,23,30,24,27,24,15,12,14,4,2,1,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,3,13,11,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,9,13,31,40,50,67,77,74,71,74,57,47,45,42,39,57,74,62,73,70,97,123,127,133,128,150,149,148,130,133,125,91,71,55,55,45,32,23,16,31,24,15,26,28,15,14,3,6,1,1,2,2,1,1,0,1,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,1,11,14,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,5,20,34,32,48,58,86,73,71,69,50,60,31,52,46,67,67,62,61,93,89,141,124,124,141,148,121,119,135,125,138,96,75,60,56,54,42,26,25,20,15,31,25,25,16,10,3,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,1,4,11,4,11,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6,13,31,50,39,49,76,79,83,63,51,66,50,48,50,64,62,60,77,81,105,118,111,133,128,159,153,112,128,133,142,98,59,74,38,52,31,26,26,17,19,19,30,27,12,15,2,4,1,2,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,1,3,8,8,10,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,19,26,41,45,54,86,78,69,73,58,48,47,50,56,52,62,59,76,76,88,94,140,130,134,145,153,129,131,135,119,105,83,52,59,37,31,25,30,36,30,32,16,13,15,12,6,6,2,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,5,9,12,7,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,16,27,37,55,66,82,82,63,64,57,51,49,46,51,62,67,53,72,77,87,113,128,150,148,138,131,143,135,141,112,110,70,53,51,30,40,30,29,16,27,28,23,17,15,15,6,2,2,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,12,13,6,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,20,25,27,50,82,74,68,67,61,59,53,55,51,49,67,58,63,56,63,95,111,138,134,151,147,147,148,126,127,128,82,73,58,61,43,39,25,22,20,27,29,31,18,12,8,2,6,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,1,0,0,3,9,15,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,16,27,39,46,59,69,91,85,58,51,60,56,50,41,48,80,53,56,74,86,133,116,125,152,152,144,133,152,118,110,104,85,47,52,50,40,25,25,24,26,28,26,20,14,6,3,2,2,2,1,2,1,1,0,0,1,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,4,6,12,10,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,11,13,30,38,46,51,79,84,63,86,62,42,46,45,41,63,42,69,74,77,89,130,140,149,124,131,141,136,144,133,108,93,73,67,59,40,39,31,21,24,26,27,26,21,13,9,2,2,2,3,2,2,0,0,1,0,0,0,1,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,5,12,14,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,3,11,26,46,47,70,73,99,63,56,56,56,44,39,54,76,58,66,55,76,97,125,141,125,138,164,132,135,141,123,106,103,78,49,39,41,30,40,29,22,26,31,30,18,10,9,4,5,4,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,1,2,8,9,13,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,9,16,28,31,51,61,66,81,76,78,57,51,42,44,41,58,67,67,74,73,92,105,150,134,141,162,159,115,140,124,116,107,64,71,43,43,31,35,23,23,29,22,23,22,10,5,6,2,2,0,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0
